fid,id,left,top,right,bottom,J_Attached,J_Secondar,J_Medium d,J_Apartmen,J_Total_Ne,Long,Lat
7080,7080,691805.209294467116706,6077605.034500000067055,692093.884429062018171,6077355.034499999135733,"0.036580488","0","0","104.8800295","104.91661",149.11443,-35.42761
7081,7081,691805.209294467116706,6077355.034499999135733,692093.884429062018171,6077105.034500000067055,"0","12.40216871","0","0","12.40216871",149.11448,-35.42986
7082,7082,691805.209294467116706,6077105.034500000067055,692093.884429062018171,6076855.034500000067055,"0","13.24402939","0","0","13.24402939",149.11454,-35.43211
7083,7083,691805.209294467116706,6076855.034500000067055,692093.884429062018171,6076605.034500000067055,"0","0","0","93.9346901","93.9346901",149.11460,-35.43437
7084,7084,691805.209294467116706,6076605.034500000067055,692093.884429062018171,6076355.034500000067055,"0","0","0","0","0",149.11466,-35.43662
7085,7085,691805.209294467116706,6076355.034500000067055,692093.884429062018171,6076105.034500000067055,"1","1","0","0","2",149.11472,-35.43887
7086,7086,691805.209294467116706,6076105.034500000067055,692093.884429062018171,6075855.034500000067055,"1.279127705","11.30277982","0","0","12.58190753",149.11478,-35.44112
7087,7087,691805.209294467116706,6075855.034500000067055,692093.884429062018171,6075605.034500000998378,"2.673417784","28.0144402","0","0","30.68785799",149.11484,-35.44338
7088,7088,691805.209294467116706,6075605.034500000998378,692093.884429062018171,6075355.034500000067055,"2.128257673","20.14720553","0","0","22.2754632",149.11490,-35.44563
7089,7089,691805.209294467116706,6075355.034500000067055,692093.884429062018171,6075105.034500000067055,"10.70408611","17.51449454","0","0","28.21858065",149.11496,-35.44788
7090,7090,691805.209294467116706,6075105.034500000067055,692093.884429062018171,6074855.034500000067055,"2.53702059","0","0","0","2.53702059",149.11501,-35.45014
7091,7091,691805.209294467116706,6074855.034500000067055,692093.884429062018171,6074605.034500000067055,"8.198093988","13.28357006","0","0","21.48166405",149.11507,-35.45239
7092,7092,691805.209294467116706,6074605.034500000067055,692093.884429062018171,6074355.034500000067055,"9.557862519","29.30366934","0","0","38.86153186",149.11513,-35.45464
7093,7093,691805.209294467116706,6074355.034500000067055,692093.884429062018171,6074105.034500000067055,"8.758054574","19.92524626","0","0","28.68330084",149.11519,-35.45689
7094,7094,691805.209294467116706,6074105.034500000067055,692093.884429062018171,6073855.034500000067055,"0","0","0","0","0",149.11525,-35.45915
7095,7095,691805.209294467116706,6073855.034500000067055,692093.884429062018171,6073605.034500000067055,"5.039739728","7.586738758","0","0","12.62647849",149.11531,-35.46140
7096,7096,691805.209294467116706,6073605.034500000067055,692093.884429062018171,6073355.034499999135733,"0","0","0","0","0",149.11537,-35.46365
7097,7097,691805.209294467116706,6073355.034499999135733,692093.884429062018171,6073105.034500000067055,"0.010817919","0.220057776","0","0","0.230875695",149.11543,-35.46590
7098,7098,691805.209294467116706,6073105.034500000067055,692093.884429062018171,6072855.034500000067055,"2.868910052","2.242734697","0","0","5.111644748",149.11549,-35.46816
7099,7099,691805.209294467116706,6072855.034500000067055,692093.884429062018171,6072605.034500000067055,"0","0","0","0","0",149.11555,-35.47041
7100,7100,691805.209294467116706,6072605.034500000067055,692093.884429062018171,6072355.034500000067055,"0","0","0","0","0",149.11560,-35.47266
7107,7107,692021.715645413380116,6107980.034500000067055,692310.390780008165166,6107730.034500000067055,"0","0","0","0","0",149.10969,-35.15386
7108,7108,692021.715645413380116,6107730.034500000067055,692310.390780008165166,6107480.034500000067055,"0","0","0","0","0",149.10975,-35.15611
7109,7109,692021.715645413380116,6107480.034500000067055,692310.390780008165166,6107230.034500000067055,"0","0","0","0","0",149.10981,-35.15837
7110,7110,692021.715645413380116,6107230.034500000067055,692310.390780008165166,6106980.034500000067055,"0","0","0","0","0",149.10987,-35.16062
7111,7111,692021.715645413380116,6106980.034500000067055,692310.390780008165166,6106730.034500000067055,"0","3","0","0","3",149.10992,-35.16287
